kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
14626000;26392;26460;26554;26654;26774;26956
14627000;15453;15291;14994;14668;14366;14131
14628000;30944;30858;30695;30520;30358;30241
14713000;1587;1474;1266;1070;884;723
14729000;13302;13038;12588;12134;11698;11295
14730000;18341;18064;17644;17203;16782;16431
15001000;2921;2848;2741;2699;2659;2628
15002000;773;706;593;482;375;274
15003000;1099;1070;1064;1061;1063;1080
15081000;39422;39294;39054;38824;38616;38457
15082000;13113;12650;11815;11046;10279;9618
15083000;21682;21157;20202;19205;18234;17422
15084000;9516;8986;8053;7082;6126;5301
15085000;13617;13502;13304;13128;12978;12863
15086000;21110;21186;21273;21350;21444;21603
15087000;10576;10187;9495;8840;8219;7647
15088000;6576;6005;4983;3925;2893;1999
15089000;5562;5018;4100;3271;2466;1695
15090000;44927;44817;44588;44328;44090;43988
15091000;25725;25669;25557;25436;25333;25312
16051000;1637;1400;1073;755;451;154
16052000;1837;1702;1530;1372;1218;1069
16053000;1758;1689;1580;1476;1375;1273
16054000;1374;1187;879;574;269;0
16055000;469;435;380;327;277;230
16056000;1374;1078;576;70;0;0
16061000;12007;11796;11440;11074;10733;10445
16062000;6823;6432;5771;5110;4469;3861
16063000;29043;28480;27542;26601;25691;24841
16064000;6331;5888;5138;4365;3633;2999
16065000;6451;6128;5559;4975;4429;3971
16066000;29132;29248;29465;29689;29936;30202
16067000;11966;11619;11099;10554;10052;9655
16068000;3231;2932;2432;1913;1421;1009
16069000;17198;17145;17049;16960;16888;16834
16070000;12110;11695;11006;10323;9658;9006
16071000;6013;5872;5629;5381;5157;4977
16072000;6640;6446;6118;5800;5492;5189
16073000;15481;15287;14955;14629;14313;14003
16074000;10622;10506;10313;10125;9955;9807
16075000;13237;12867;12236;11605;10993;10420
16076000;12699;12314;11655;10999;10369;9784
16077000;4531;4427;4226;4021;3850;3761
